entry_time,direction,signal,entry_price,quantity,take_profit,stop_loss,exit_price,exit_time,exit_reason,status,net_pnl,perc_pnl,cumulative_pnl,balance,target
2026-02-04 17:00:00+00:00,Long,1,73635.63,0.013580382214425271,75108.3426,72899.2737,72899.2737,2026-02-04 17:00:00+00:00,stop_loss,Completed,-11.392999999999992,-1.139299999999999,-11.392999999999992,9988.607,-1
2026-02-04 17:15:00+00:00,Long,1,73608.89,0.013585315578050422,75081.0678,72872.8011,72872.8011,2026-02-04 17:15:00+00:00,stop_loss,Completed,-11.393000000000033,-1.1393000000000033,-22.786000000000023,9977.214,1
2026-02-04 17:30:00+00:00,Long,1,72473.56,0.01379813548554811,73923.0312,71748.8244,73923.0312,2026-02-04 18:30:00+00:00,take_profit,Completed,18.586,1.8585999999999998,-4.200000000000024,9995.8,-1
2026-02-05 04:00:00+00:00,Long,1,71223.25,0.014040359011979937,72647.715,70511.0175,70511.0175,2026-02-05 05:15:00+00:00,stop_loss,Completed,-11.392999999999974,-1.1392999999999975,-15.592999999999998,9984.407,0
2026-02-05 12:15:00+00:00,Long,1,69918.01,0.01430246656047562,71316.37019999999,69218.8299,69218.8299,2026-02-05 12:15:00+00:00,stop_loss,Completed,-11.392999999999967,-1.1392999999999966,-26.985999999999965,9973.014,-1
2026-02-05 15:00:00+00:00,Long,1,69404.75,0.0144082357475533,70792.845,68710.7025,68710.7025,2026-02-05 15:00:00+00:00,stop_loss,Completed,-11.393000000000006,-1.1393000000000006,-38.37899999999997,9961.621,-1
2026-02-05 15:15:00+00:00,Long,1,68014.24,0.01470280341293235,69374.52480000001,67334.09760000001,67334.09760000001,2026-02-05 15:15:00+00:00,stop_loss,Completed,-11.392999999999954,-1.1392999999999955,-49.77199999999992,9950.228000000001,1
2026-02-05 15:30:00+00:00,Long,1,66851.98,0.014958420079704446,68189.0196,66183.4602,68189.0196,2026-02-05 15:45:00+00:00,take_profit,Completed,18.586000000000055,1.8586000000000054,-31.185999999999865,9968.814,0
2026-02-05 16:00:00+00:00,Long,1,67489.08,0.014817211910430545,68838.8616,66814.18920000001,66814.18920000001,2026-02-05 17:15:00+00:00,stop_loss,Completed,-11.392999999999905,-1.1392999999999907,-42.578999999999766,9957.421,1
2026-02-05 17:30:00+00:00,Long,1,67408.2,0.01483499040176121,68756.364,66734.118,66734.118,2026-02-05 17:30:00+00:00,stop_loss,Completed,-11.392999999999923,-1.1392999999999922,-53.97199999999969,9946.028,-1
2026-02-05 17:45:00+00:00,Long,1,67109.93,0.014900924498058635,68452.1286,66438.83069999999,66438.83069999999,2026-02-05 17:45:00+00:00,stop_loss,Completed,-11.393000000000026,-1.1393000000000026,-65.36499999999971,9934.635,1
2026-02-05 18:00:00+00:00,Long,1,66181.68,0.01510992165807819,67505.3136,65519.86319999999,65519.86319999999,2026-02-05 18:15:00+00:00,stop_loss,Completed,-11.393000000000008,-1.1393000000000006,-76.75799999999973,9923.242,-1
2026-02-05 18:30:00+00:00,Long,1,65851.28,0.015185733671388013,67168.3056,65192.767199999995,65192.767199999995,2026-02-05 20:00:00+00:00,stop_loss,Completed,-11.393000000000061,-1.1393000000000062,-88.15099999999978,9911.849,1
2026-02-05 20:15:00+00:00,Long,1,65051.38,0.01537246404303798,66352.40759999999,64400.8662,64400.8662,2026-02-05 20:15:00+00:00,stop_loss,Completed,-11.393000000000008,-1.1393000000000006,-99.54399999999978,9900.456,-1
2026-02-05 20:30:00+00:00,Long,1,63866.59,0.015657638837457896,65143.9218,63227.9241,63227.9241,2026-02-05 20:30:00+00:00,stop_loss,Completed,-11.392999999999999,-1.1392999999999998,-110.93699999999978,9889.063,0
2026-02-05 20:45:00+00:00,Long,1,63665.41,0.015707116313238224,64938.7182,63028.755900000004,63028.755900000004,2026-02-05 20:45:00+00:00,stop_loss,Completed,-11.392999999999994,-1.1392999999999993,-122.32999999999979,9877.67,-1
2026-02-05 21:00:00+00:00,Long,1,63775.66,0.015679963170902502,65051.173200000005,63137.9034,63137.9034,2026-02-05 21:15:00+00:00,stop_loss,Completed,-11.393000000000008,-1.1393000000000009,-133.7229999999998,9866.277,1
2026-02-05 21:30:00+00:00,Long,1,63969.93,0.015632344759483087,65249.3286,63330.2307,63330.2307,2026-02-05 21:30:00+00:00,stop_loss,Completed,-11.393,-1.1393000000000002,-145.1159999999998,9854.884,-1
2026-02-05 22:00:00+00:00,Long,1,63213.34,0.01581944570560581,64477.606799999994,62581.2066,64477.606799999994,2026-02-05 22:30:00+00:00,take_profit,Completed,18.585999999999963,1.8585999999999965,-126.52999999999983,9873.47,1
2026-02-05 23:00:00+00:00,Long,1,63907.86,0.01564752754981938,65186.0172,63268.7814,63268.7814,2026-02-05 23:45:00+00:00,stop_loss,Completed,-11.39300000000001,-1.139300000000001,-137.92299999999983,9862.077,-1
2026-02-06 00:00:00+00:00,Short,-1,62909.87,0.015895756897923965,61651.6726,63538.968700000005,61651.6726,2026-02-06 00:00:00+00:00,take_profit,Completed,18.614000000000072,1.8614000000000075,-119.30899999999976,9880.691,1
2026-02-06 00:15:00+00:00,Long,1,60255.65,0.0165959540723567,61460.763,59653.0935,61460.763,2026-02-06 00:15:00+00:00,take_profit,Completed,18.58599999999996,1.858599999999996,-100.7229999999998,9899.277,1
2026-02-06 00:30:00+00:00,Long,1,61373.29,0.016293732990361118,62600.7558,60759.5571,62600.7558,2026-02-06 00:30:00+00:00,take_profit,Completed,18.58599999999997,1.8585999999999967,-82.13699999999983,9917.863,1
2026-02-06 00:45:00+00:00,Long,1,62965.51,0.01588171047927667,64224.8202,62335.8549,64224.8202,2026-02-06 01:00:00+00:00,take_profit,Completed,18.586,1.8585999999999998,-63.55099999999983,9936.449,1
2026-02-06 01:45:00+00:00,Short,-1,64730.99,0.015448550995435108,63436.3702,65378.2999,65378.2999,2026-02-06 01:45:00+00:00,stop_loss,Completed,-11.407000000000002,-1.1407000000000003,-74.95799999999983,9925.042,-1
